Network_Na,Route_Numb,Direction,Marker_Pos,Asset_Type,Asset_Inve,Unique_Ass,ITM_Eastin,ITM_Northi,Latitude,Longitude,Spatial_Ge,Asset_Envi,Lamp_Type,Metered,Switching_,Switching1,Bracket_Ty,Ballast_Ty,Wattage__w,Mounting_H,Additional,Number_of_,Decommissi,Column_Mat,EIWO_Numbe,GlobalID,created_us,created_da,last_edite,last_edi_1,Junction,ScheduledF
B,M20,East,M20 94.1 E,Lighting Point/Lighting Column,LP,LP-1899,556963.568,653355.69,52.62971805,-8.63571544,Point,Slip Road,SON,Yes,Photocell,Dusk to Dawn,Single,Magnetic,250,10,<Null>,1,,Steel,,{188ACE84-4585-4F24-A73A-9B3BC82A4410},,,COATESR,2025-04-08,M20 J2,Yes
B,M20,East,M20 94.1 E,Lighting Point/Lighting Column,LP,LP-1900,556984.116,653385.186,52.62998477,-8.63541578,Point,Slip Road,SON,Yes,Photocell,Dusk to Dawn,Single,Magnetic,250,10,<Null>,1,,Steel,,{94701500-B741-49D6-973B-7806592B8A04},,,COATESR,2025-04-08,M20 J2,Yes
B,M20,East,M20 94.2 E,Lighting Point/Lighting Column,LP,LP-1901,557003.843,653413.185,52.63023797,-8.63512804,Point,Slip Road,SON,Yes,Photocell,Dusk to Dawn,Single,Magnetic,250,10,<Null>,1,,Steel,,{B6BE6F6F-D41C-4E62-AEB0-D1487BA2F95B},,,COATESR,2025-04-08,M20 J2,Yes
B,M20,West,M20 94.3 W,Lighting Point/Lighting Column,LP,LP-1902,557201.928,653425.868,52.63036761,-8.63220382,Point,Slip Road,SON,Yes,Photocell,Dusk to Dawn,Single,Magnetic,250,10,<Null>,1,,Steel,,{8935E4AE-C2B9-4451-8197-0B1517D57CC9},,,COATESR,2025-04-08,M20 J2,Yes
B,M20,West,M20 94.3 W,Lighting Point/Lighting Column,LP,LP-1903,557181.1,653398.036,52.63011582,-8.63250786,Point,Slip Road,SON,Yes,Photocell,Dusk to Dawn,Single,Magnetic,250,10,<Null>,1,,Steel,,{C4937FF3-AEB7-4CD2-809F-226F5C888867},,,COATESR,2025-04-08,M20 J2,Yes
B,M20,West,M20 94.3 W,Lighting Point/Lighting Column,LP,LP-1904,557159.864,653370.351,52.62986533,-8.63281794,Point,Slip Road,SON,Yes,Photocell,Dusk to Dawn,Single,Magnetic,250,10,<Null>,1,,Steel,,{9F631775-2CF2-4C71-8782-26FB54DC62A9},,,COATESR,2025-04-08,M20 J2,Yes
B,M20,South,M20 94.2 W,Lighting Point/Lighting Column,LP,LP-1905,557150.91,653343.831,52.62962628,-8.63294676,Point,Interchange,SON,Yes,Photocell,Dusk to Dawn,Post Top,Magnetic,250,12,<Null>,1,,Steel,,{83B55F1C-95E6-4B15-B3BB-92415C3CD84A},,,COATESR,2025-04-08,M20 J2,No
B,M20,South,M20 94.2 E,Lighting Point/Lighting Column,LP,LP-1906,557064.063,653435.589,52.63044409,-8.63424146,Point,Interchange,SON,Yes,Photocell,Dusk to Dawn,Post Top,Magnetic,250,12,<Null>,1,,Steel,,{2A4BA236-8D15-42A3-859B-D0FE1F8088D5},,,COATESR,2025-04-08,M20 J2,No
B,M20,South,M20 94.2 E,Lighting Point/Lighting Column,LP,LP-1907,557071.04,653418.216,52.6302885,-8.63413614,Point,Interchange,SON,Yes,Photocell,Dusk to Dawn,Post Top,Magnetic,250,10,<Null>,1,,Steel,,{980CCE55-D89B-4D7A-B958-7E634B900F24},,,COATESR,2025-04-08,M20 J2,No
B,M20,South,M20 94.2 W,Lighting Point/Lighting Column,LP,LP-1908,557089.248,653395.567,52.63008638,-8.63386426,Point,Interchange,SON,Yes,Photocell,Dusk to Dawn,Post Top,Magnetic,150,8,<Null>,1,,Steel,,{E57BD9E2-78F0-4BA2-A7D7-C082806E1438},,,COATESR,2025-04-08,M20 J2,No
